"id_national","month","andeb","anfin","tmm","tnm","txm","rrtm"
22525211,9,1961,1990,23.3,18.3,28.3,50.4
22525211,10,1961,1990,20.2,15.5,24.9,117.1
22525211,11,1961,1990,15.6,11.4,19.7,135.4
22525211,12,1961,1990,12.9,8.9,16.9,157.6
22525331,1,1961,1990,7.5,4.1,10.9,231.9
22525331,2,1961,1990,8,4.3,11.7,228.2
22525331,3,1961,1990,10.2,5.9,14.4,165.9
22525331,4,1961,1990,10.7,6.3,15,160.7
22525331,5,1961,1990,15.7,10.8,20.7,69.9
22525331,6,1961,1990,20.1,14.9,25.2,27.6
22525331,7,1961,1990,23.1,17.5,28.7,8.8
22525331,8,1961,1990,24.8,18.7,30.9,21.8
22525331,9,1961,1990,22.3,16.7,27.9,63.6
22525331,10,1961,1990,17.4,12.6,22.3,145.7
22525331,11,1961,1990,12.3,8.3,16.3,142.9
22525331,12,1961,1990,7.9,4.5,11.3,216
23232111,1,1961,1990,7.4,2.2,12.6,61.8
23232111,2,1961,1990,8.6,3,14.1,65
23232111,3,1961,1990,10.9,4.9,16.9,67.7
23232111,4,1961,1990,12.2,5.5,18.9,53.8
23232111,5,1961,1990,17.9,10.2,25.7,43.1
23232111,6,1961,1990,22.9,14.5,31.3,24.5
23232111,7,1961,1990,25.5,16.7,34.3,10.6
23232111,8,1961,1990,26.4,17.5,35.3,22.4
23232111,9,1961,1990,23.9,16.4,31.5,32.6
23232111,10,1961,1990,18.8,12.3,25.4,65.7
23232111,11,1961,1990,12.8,7,18.7,35.5
23232111,12,1961,1990,7.9,2.9,13,50.4
23232231,1,1961,1990,9.8,4.7,14.9,44.5
23232231,2,1961,1990,10.6,5.1,16.2,36.9
23232231,3,1961,1990,12.4,6.4,18.4,51.7
23232231,4,1961,1990,14.7,8.4,21,34.7
23232231,5,1961,1990,19.5,12.1,26.8,29
23232231,6,1961,1990,24,16.2,31.9,15
23232231,7,1961,1990,27.1,18.5,35.8,3.1
23232231,8,1961,1990,27.4,19.2,35.6,14.9
23232231,9,1961,1990,24.1,17,31.4,26.2
23232231,10,1961,1990,19.2,13,25.5,38.4
23232231,11,1961,1990,14.3,8.7,20,42.2
23232231,12,1961,1990,10.9,5.8,16,56.1
23434111,1,1961,1990,8.7,3.8,13.4,45.3
